iter	RMSE
0	3685183.407
1	3625620.108
2	3570985.658
3	3518790.176
4	3468952.057
5	3423900.661
6	3382233.278
7	3343064.849
8	3301561.122
9	3264524.457
10	3227985.351
11	3196623.064
12	3163080.225
13	3132756.721
14	3101953.309
15	3074724.628
16	3047052.287
17	3019340.545
18	2991553.265
19	2968134.327
20	2948916.8
21	2927321.229
22	2907544.83
23	2888944.501
24	2869817.304
25	2853052.3
26	2837515.56
27	2819452.696
28	2801532.93
29	2788067.465
30	2775468.718
31	2763618.212
32	2749855.301
33	2737827.838
34	2726847.002
35	2715887.133
36	2705942.597
37	2693240.046
38	2682000.627
39	2670676.237
40	2661779.104
41	2653874.657
42	2646029.403
43	2636672.932
44	2629515.87
45	2619279.721
46	2612733.715
47	2605994.609
48	2600081.9
49	2593417.342
50	2587780.8
51	2579856.499
52	2573859.25
53	2566766.856
54	2562200.864
55	2556742.903
56	2552159.474
57	2545325.66
58	2538850.753
59	2533133.055
60	2528403.582
61	2524587.674
62	2521119.592
63	2517000.153
64	2513095.549
65	2509368.872
66	2505026.404
67	2500252.786
68	2497080.742
69	2492081.446
70	2488847.811
71	2486385.032
72	2481978.193
73	2478921.08
74	2476495.708
75	2474040.636
76	2469798.19
77	2467150.589
78	2463119.169
79	2459588.234
80	2457579.855
81	2454110.677
82	2451335.437
83	2449177.535
84	2446723.963
85	2442390.879
86	2440385.907
87	2438687.696
88	2436188.338
89	2433139.028
90	2430801.443
91	2427952.112
92	2426342.057
93	2424874.961
94	2422001.273
95	2419426.35
96	2417495.273
97	2414740.801
98	2412899.017
99	2409623.605
100	2408028.365
101	2406363.275
102	2404477.013
103	2400874.924
104	2399156.293
105	2396098.184
106	2394301.534
107	2391665.578
108	2390507.145
109	2388957.141
110	2387072.012
111	2386021.263
112	2384860.958
113	2382937.771
114	2381144.673
115	2379951.667
116	2376815.12
117	2375666.859
118	2374596.275
119	2373659.127
120	2372563.193
121	2371250.706
122	2370222.18
123	2368603.739
124	2367458.642
125	2366294.273
126	2363504.961
127	2362238.506
128	2361357.422
129	2360399.055
130	2359653.601
131	2358489.071
132	2357011.46
133	2356113.1
134	2355030.481
135	2353160.438
136	2352225.553
137	2349792.993
138	2348773.762
139	2347613.156
140	2346973.359
141	2346115.64
142	2345408.496
143	2344072.83
144	2343316.624
145	2342692.358
146	2341965.673
147	2340592.373
148	2340018.146
149	2339433.854
150	2338522.176
151	2337639.047
152	2337024.827
153	2335840.81
154	2335275.139
155	2334413.589
156	2332921.794
157	2331782.626
158	2331319.441
159	2330083.394
160	2329525.128
161	2328965.859
162	2327493.917
163	2326195.306
164	2325957.461
165	2325365.911
166	2324510.308
167	2323872.355
168	2323157.723
169	2322558.15
170	2321498.719
171	2321151.014
172	2320545.904
173	2319946.826
174	2319138.678
175	2317409.93
176	2316759.116
177	2316208.567
178	2315871.455
179	2315256.485
180	2314667.218
181	2314224.657
182	2313811.991
183	2313382.288
184	2312796.941
185	2311593.278
186	2311151.6
187	2309727.265
188	2309366.437
189	2308595.414
190	2308231.204
191	2307813.538
192	2307457.979
193	2307203
194	2306872.665
195	2306014.342
196	2305584.048
197	2305272.587
198	2304678.267
199	2304307.065
200	2304005.326
201	2303428.017
202	2302360.801
203	2301425.486
204	2301132.234
205	2300647.211
206	2300248.241
207	2298739.203
208	2298218.041
209	2297346.245
210	2296636.078
211	2296198.228
212	2295856.662
213	2294037.821
214	2293504.721
215	2293110.535
216	2292837.938
217	2292463.059
218	2291840.51
219	2291313.931
220	2291030.845
221	2290455.96
222	2290127.921
223	2289015.538
224	2288547.329
225	2288059.823
226	2287550.626
227	2287117.736
228	2286011.934
229	2285720.524
230	2284231.609
231	2283756.005
232	2283431.237
233	2282357.73
234	2282111.8
235	2281919.839
236	2281448.654
237	2281188.231
238	2280820.426
239	2280399.642
240	2279892.771
241	2279428.816
242	2278291.428
243	2277097.579
244	2276808.975
245	2276444.105
246	2275764.392
247	2275443.852
248	2275101.632
249	2274851.244
250	2274397.414
251	2274000.802
252	2273409.397
253	2273102.036
254	2272749.133
255	2272259.824
256	2271507.931
