iter	Passed	Remaining
0	3	2802
1	7	2574
2	10	2549
3	14	2504
4	17	2477
5	20	2467
6	24	2460
7	27	2441
8	30	2422
9	34	2405
10	37	2419
11	40	2407
12	44	2397
13	47	2390
14	52	2442
15	55	2429
16	58	2414
17	61	2406
18	65	2417
19	69	2407
20	72	2397
21	76	2405
22	79	2397
23	82	2389
24	85	2380
25	89	2373
26	92	2368
27	95	2361
28	99	2354
29	102	2348
30	105	2342
31	109	2341
32	112	2335
33	115	2327
34	119	2320
35	123	2338
36	126	2329
37	130	2323
38	133	2317
39	136	2312
40	139	2305
41	143	2300
42	146	2294
43	149	2287
44	152	2284
45	156	2278
46	159	2273
47	162	2268
48	165	2261
49	169	2255
50	172	2250
51	175	2245
52	178	2241
53	182	2236
54	185	2230
55	188	2225
56	191	2222
57	195	2222
58	198	2218
59	202	2213
60	205	2212
61	208	2207
62	212	2201
63	215	2196
64	218	2192
65	221	2187
66	225	2183
67	228	2177
68	231	2172
69	234	2167
70	237	2162
71	240	2157
72	244	2154
73	247	2148
74	250	2144
75	253	2140
76	257	2136
77	260	2131
78	263	2126
79	266	2121
80	269	2116
81	272	2111
82	275	2107
83	279	2102
84	282	2097
85	285	2093
86	288	2088
87	291	2085
88	294	2081
89	298	2076
90	301	2071
91	304	2066
92	307	2062
93	310	2057
94	313	2053
95	316	2049
96	320	2045
97	323	2042
98	326	2039
99	329	2036
100	333	2032
101	336	2028
102	339	2024
103	342	2021
104	346	2017
105	349	2014
106	352	2009
107	355	2005
108	358	2000
109	361	1995
110	364	1990
111	368	1989
112	371	1984
113	374	1980
114	377	1976
115	380	1972
116	383	1968
117	387	1965
118	390	1960
119	393	1955
120	396	1951
121	399	1947
122	402	1943
123	406	1944
124	409	1941
125	413	1937
126	416	1934
127	419	1930
128	422	1926
129	426	1923
130	429	1919
131	432	1915
132	435	1911
133	438	1907
134	441	1903
135	444	1900
136	447	1896
137	451	1893
138	454	1889
139	457	1886
140	460	1881
141	465	1883
142	468	1878
143	471	1875
144	474	1871
145	477	1867
146	480	1863
147	483	1859
148	486	1855
149	489	1851
150	492	1847
151	496	1843
152	499	1839
153	502	1836
154	505	1832
155	508	1828
156	512	1826
157	515	1823
158	518	1819
159	521	1816
160	524	1812
161	528	1809
162	531	1806
163	534	1803
164	537	1798
165	540	1795
166	544	1791
167	547	1788
168	550	1784
169	553	1780
170	556	1777
171	559	1773
172	562	1769
173	565	1765
174	569	1764
175	573	1761
176	576	1757
177	579	1753
178	582	1749
179	586	1750
180	589	1746
181	592	1742
182	595	1738
183	599	1735
184	602	1732
185	605	1729
186	608	1725
187	612	1722
188	615	1719
189	618	1715
190	621	1712
191	625	1709
192	628	1706
193	631	1702
194	634	1699
195	638	1696
196	641	1692
197	644	1689
198	648	1686
199	651	1683
200	654	1680
201	657	1677
202	661	1674
203	664	1671
204	667	1667
205	671	1664
206	674	1660
207	677	1657
208	680	1653
209	683	1650
210	687	1648
211	690	1645
212	693	1641
213	697	1638
214	700	1634
215	703	1631
216	706	1628
217	709	1624
218	713	1621
219	716	1618
220	719	1614
221	722	1611
222	725	1607
223	729	1604
224	732	1601
225	735	1597
226	738	1594
